Date,Close/Last,Volume,Open,High,Low,Change
05/11/2021,125.91,126142800,123.5,126.27,122.77,2.41
05/10/2021,126.85,88071230,129.41,129.54,126.81,-2.56
05/07/2021,130.21,78973270,130.85,131.2582,129.475,-0.64
05/06/2021,129.74,78128330,127.89,129.75,127.13,1.85
05/05/2021,128.1,84000900,129.2,130.45,127.97,-1.1
05/04/2021,127.85,137564700,131.19,131.4899,126.7,-3.34
05/03/2021,132.54,75135100,132.04,134.07,131.83,0.5
04/30/2021,131.46,109839500,131.78,133.56,131.065,-0.32
04/29/2021,133.48,151101000,136.47,137.07,132.45,-2.99
04/28/2021,133.58,107760100,134.31,135.02,133.08,-0.73
04/27/2021,134.39,66015800,135.01,135.41,134.11,-0.62
04/26/2021,134.72,66905070,134.83,135.06,133.56,-0.11
04/23/2021,134.32,78756780,132.16,135.12,132.16,2.16
04/22/2021,131.94,84566460,133.04,134.15,131.41,-1.1
04/21/2021,133.5,68847140,132.36,133.75,131.3001,1.14
04/20/2021,133.11,94812350,135.02,135.53,131.81,-1.91
04/19/2021,134.84,94264220,133.51,135.47,133.34,1.33
04/16/2021,134.16,84922390,134.3,134.67,133.28,-0.14
04/15/2021,134.5,89347100,133.82,135,133.64,0.68
04/14/2021,132.03,87222780,134.94,135,131.655,-2.91
04/13/2021,134.43,91266550,132.44,134.66,131.93,1.99
04/12/2021,131.24,91419980,132.52,132.85,130.63,-1.28
04/09/2021,132.995,106686700,129.8,133.04,129.47,3.195
04/08/2021,130.36,88844590,128.95,130.39,128.52,1.41
04/07/2021,127.9,83466720,125.83,127.92,125.14,2.07
04/06/2021,126.21,80171250,126.5,127.13,125.65,-0.29
04/05/2021,125.9,88651180,123.87,126.1601,123.07,2.03
04/01/2021,123,75089130,123.66,124.18,122.49,-0.66
03/31/2021,122.15,118323800,121.65,123.52,121.15,0.5
03/30/2021,119.9,85671920,120.11,120.4031,118.86,-0.21
03/29/2021,121.39,80819200,121.65,122.58,120.7299,-0.26
03/26/2021,121.21,94071230,120.35,121.48,118.92,0.86
03/25/2021,120.59,98844680,119.54,121.66,119,1.05
03/24/2021,120.09,88530490,122.82,122.9,120.065,-2.73
03/23/2021,122.54,95467140,123.33,124.24,122.14,-0.79
03/22/2021,123.39,111912300,120.33,123.87,120.26,3.06
03/19/2021,119.99,185549500,119.9,121.43,119.675,0.09
03/18/2021,120.53,121469800,122.88,123.18,120.32,-2.35
03/17/2021,124.76,111932600,124.05,125.8599,122.336,0.71
03/16/2021,125.57,115227900,125.7,127.22,124.715,-0.13
03/15/2021,123.99,92590560,121.41,124,120.42,2.58
03/12/2021,121.03,88105050,120.4,121.17,119.16,0.63
03/11/2021,121.96,103026500,122.54,123.21,121.26,-0.58
03/10/2021,119.98,111943300,121.69,122.17,119.45,-1.71
03/09/2021,121.085,129525800,119.03,122.06,118.79,2.055
03/08/2021,116.36,154376600,120.93,121,116.21,-4.57
03/05/2021,121.42,153766600,120.98,121.935,117.57,0.44
03/04/2021,120.13,178155000,121.75,123.6,118.62,-1.62
03/03/2021,122.06,112966300,124.81,125.71,121.84,-2.75
03/02/2021,125.12,102260900,128.41,128.72,125.01,-3.29
03/01/2021,127.79,116307900,123.75,127.93,122.79,4.04
02/26/2021,121.26,164560400,122.59,124.85,121.2,-1.33
02/25/2021,120.99,148199500,124.68,126.4585,120.54,-3.69
02/24/2021,125.35,111039900,124.94,125.56,122.23,0.41
02/23/2021,125.86,158273000,123.76,126.71,118.39,2.1
02/22/2021,126,103916400,128.01,129.72,125.6,-2.01
02/19/2021,129.87,87668830,130.24,130.71,128.8,-0.37
02/18/2021,129.71,96856750,129.2,129.995,127.41,0.51
02/17/2021,130.84,98085250,131.25,132.22,129.47,-0.41
02/16/2021,133.19,80576320,135.49,136.01,132.79,-2.3
02/12/2021,135.37,60145130,134.35,135.53,133.6921,1.02
02/11/2021,135.13,64280030,135.9,136.39,133.77,-0.77
02/10/2021,135.39,73046560,136.48,136.99,134.4,-1.09
02/09/2021,136.01,76774210,136.62,137.877,135.85,-0.61
02/08/2021,136.91,71297210,136.03,136.96,134.92,0.88
02/05/2021,136.76,75693830,137.35,137.42,135.86,-0.59
02/04/2021,137.39,84183060,136.3,137.4,134.59,1.09
02/03/2021,133.94,89880940,135.76,135.77,133.61,-1.82
02/02/2021,134.99,83305370,135.73,136.31,134.61,-0.74
02/01/2021,134.14,106239800,133.75,135.38,130.93,0.39
01/29/2021,131.96,177523800,135.83,136.74,130.21,-3.87
01/28/2021,137.09,142621100,139.52,141.99,136.7,-2.43
01/27/2021,142.06,140843800,143.43,144.3,140.41,-1.37
01/26/2021,143.16,98390560,143.6,144.3,141.37,-0.44
01/25/2021,142.92,157611700,143.07,145.09,136.54,-0.15
01/22/2021,139.07,114459400,136.28,139.85,135.02,2.79
01/21/2021,136.87,120529500,133.8,139.67,133.59,3.07
01/20/2021,132.03,104319500,128.66,132.49,128.55,3.37
01/19/2021,127.83,90757330,127.78,128.71,126.938,0.05
01/15/2021,127.14,111598500,128.78,130.2242,127,-1.64
01/14/2021,128.91,90221760,130.8,131,128.76,-1.89
01/13/2021,130.89,88636830,128.76,131.45,128.49,2.13
01/12/2021,128.8,91951150,128.5,129.69,126.86,0.3
01/11/2021,128.98,100620900,129.19,130.17,128.5,-0.21
01/08/2021,132.05,105158200,132.43,132.63,130.23,-0.38
01/07/2021,130.92,109578200,128.36,131.63,127.86,2.56
01/06/2021,126.6,155088000,127.72,131.0499,126.382,-1.12
01/05/2021,131.01,97664900,128.89,131.74,128.43,2.12
01/04/2021,129.41,143301900,133.52,133.6116,126.76,-4.11
12/31/2020,132.69,99116590,134.08,134.74,131.72,-1.39
12/30/2020,133.72,96452120,135.58,135.99,133.4,-1.86
12/29/2020,134.87,121047300,138.05,138.789,134.3409,-3.18
12/28/2020,136.69,124486200,133.99,137.34,133.51,2.7
12/24/2020,131.97,54930060,131.32,133.46,131.1,0.65
12/23/2020,130.96,88223690,132.16,132.43,130.78,-1.2
12/22/2020,131.88,169351800,131.61,134.405,129.65,0.27
12/21/2020,128.23,121251600,125.02,128.31,123.449,3.21
12/18/2020,126.655,192541500,128.96,129.1,126.12,-2.305
12/17/2020,128.7,94359810,128.9,129.58,128.045,-0.2
12/16/2020,127.81,98208590,127.41,128.37,126.56,0.4
12/15/2020,127.88,157572300,124.34,127.9,124.13,3.54
12/14/2020,121.78,79075990,122.6,123.35,121.54,-0.82
12/11/2020,122.41,86939790,122.43,122.76,120.55,-0.02
12/10/2020,123.24,81312170,120.5,123.87,120.15,2.74
12/09/2020,121.78,115089200,124.53,125.95,121,-2.75
12/08/2020,124.38,82225510,124.37,124.98,123.09,0.01
12/07/2020,123.75,86711990,122.31,124.57,122.25,1.44
12/04/2020,122.25,78260420,122.6,122.8608,121.52,-0.35
12/03/2020,122.94,78967630,123.52,123.78,122.21,-0.58
12/02/2020,123.08,89004200,122.02,123.37,120.89,1.06
12/01/2020,122.72,128166800,121.01,123.4693,120.01,1.71
11/30/2020,119.05,169410200,116.97,120.97,116.81,2.08
11/27/2020,116.59,46691330,116.57,117.49,116.22,0.02
11/25/2020,116.03,76499230,115.55,116.75,115.17,0.48
11/24/2020,115.17,113874200,113.91,115.85,112.59,1.26
11/23/2020,113.85,127959300,117.18,117.6202,113.75,-3.33
11/20/2020,117.34,73604290,118.64,118.77,117.29,-1.3
11/19/2020,118.64,74112970,117.59,119.06,116.81,1.05
11/18/2020,118.03,76322110,118.61,119.82,118,-0.58
11/17/2020,119.39,74270970,119.55,120.6741,118.96,-0.16
11/16/2020,120.3,91183020,118.92,120.99,118.146,1.38
11/13/2020,119.26,81688590,119.44,119.6717,117.87,-0.18
11/12/2020,119.21,103350700,119.62,120.53,118.57,-0.41
11/11/2020,119.49,112295000,117.19,119.63,116.44,2.3
11/10/2020,115.97,138023400,115.55,117.59,114.13,0.42
11/09/2020,116.32,154515300,120.5,121.99,116.05,-4.18
11/06/2020,118.69,114457900,118.32,119.2,116.13,0.37
11/05/2020,119.03,126387100,117.95,119.62,116.8686,1.08
11/04/2020,114.95,138235500,114.14,115.59,112.35,0.81
11/03/2020,110.44,107624400,109.66,111.49,108.73,0.78
11/02/2020,108.77,122866900,109.11,110.68,107.32,-0.34
10/30/2020,108.86,190573500,111.06,111.99,107.72,-2.2
10/29/2020,115.32,146129200,112.37,116.93,112.2,2.95
10/28/2020,111.2,143937800,115.05,115.43,111.1,-3.85
10/27/2020,116.6,92276770,115.49,117.28,114.5399,1.11
10/26/2020,115.05,111850700,114.01,116.55,112.88,1.04
10/23/2020,115.04,82572650,116.39,116.55,114.28,-1.35
10/22/2020,115.75,101988000,117.45,118.04,114.59,-1.7
10/21/2020,116.87,89945980,116.67,118.705,116.45,0.2
10/20/2020,117.51,124423700,116.2,118.98,115.63,1.31
10/19/2020,115.98,120639300,119.96,120.419,115.66,-3.98
10/16/2020,119.02,115393800,121.28,121.548,118.81,-2.26
10/15/2020,120.71,112559200,118.72,121.2,118.15,1.99
10/14/2020,121.19,151062300,121,123.03,119.62,0.19
10/13/2020,121.1,262330500,125.27,125.39,119.65,-4.17
10/12/2020,124.4,240226800,120.06,125.18,119.2845,4.34
10/09/2020,116.97,100506900,115.28,117,114.92,1.69
10/08/2020,114.97,83477150,116.25,116.4,114.5901,-1.28
10/07/2020,115.08,96848990,114.62,115.55,114.13,0.46
10/06/2020,113.16,161498200,115.7,116.12,112.25,-2.54
10/05/2020,116.5,106243800,113.91,116.65,113.55,2.59
10/02/2020,113.02,144712000,112.89,115.37,112.22,0.13
10/01/2020,116.79,116120400,117.64,117.72,115.83,-0.85
09/30/2020,115.81,142675200,113.79,117.26,113.62,2.02
09/29/2020,114.09,100060500,114.55,115.31,113.57,-0.46
09/28/2020,114.96,137672400,115.01,115.32,112.78,-0.05
09/25/2020,112.28,149981400,108.43,112.44,107.67,3.85
09/24/2020,108.22,167743300,105.17,110.25,105,3.05
09/23/2020,107.12,150718700,111.62,112.11,106.77,-4.5
09/22/2020,111.81,183055400,112.68,112.86,109.16,-0.87
09/21/2020,110.08,195713800,104.54,110.19,103.1,5.54
09/18/2020,106.84,287104900,110.4,110.88,106.09,-3.56
09/17/2020,110.34,178011000,109.72,112.2,108.71,0.62
09/16/2020,112.13,155026700,115.23,116,112.04,-3.1
09/15/2020,115.54,184642000,118.33,118.829,113.61,-2.79
09/14/2020,115.355,140150100,114.72,115.93,112.8,0.635
09/11/2020,112,180860300,114.57,115.23,110,-2.57
09/10/2020,113.49,182274400,120.36,120.5,112.5,-6.87
09/09/2020,117.32,176940500,117.26,119.14,115.26,0.06
09/08/2020,112.82,231366600,113.95,118.99,112.68,-1.13
09/04/2020,120.96,332607200,120.07,123.7,110.89,0.89
09/03/2020,120.88,257599600,126.91,128.84,120.5,-6.03
09/02/2020,131.4,200119000,137.59,137.98,127,-6.19
09/01/2020,134.18,152470100,132.76,134.8,130.53,1.42
08/31/2020,129.04,225702700,127.58,131,126,1.46
08/28/2020,124.8075,187629920,126.0125,126.4425,124.5775,-1.205
08/27/2020,125.01,155552400,127.1425,127.485,123.8325,-2.1325
08/26/2020,126.5225,163022280,126.1793,126.9925,125.0825,0.3432
08/25/2020,124.825,211495800,124.6975,125.1793,123.0525,0.1275
08/24/2020,125.8575,345937760,128.6975,128.785,123.9363,-2.84
08/21/2020,124.37,338054640,119.2625,124.868,119.25,5.1075
08/20/2020,118.275,126907200,115.75,118.392,115.7334,2.525
08/19/2020,115.7075,145538000,115.9833,117.1625,115.61,-0.2758
08/18/2020,115.5625,105633560,114.3525,116,114.0075,1.21
08/17/2020,114.6075,119561440,116.0625,116.0875,113.9625,-1.455
08/14/2020,114.9075,165565200,114.8288,115,113.045,0.0787
08/13/2020,115.01,210082080,114.43,116.0425,113.9275,0.58
08/12/2020,113.01,165944840,110.4975,113.275,110.2975,2.5125
08/11/2020,109.375,187902360,111.9688,112.4825,109.1067,-2.5938
08/10/2020,112.7275,212403440,112.6,113.775,110,0.1275
08/07/2020,111.1125,198045600,113.205,113.675,110.2925,-2.0925
08/06/2020,113.9025,202428920,110.405,114.4125,109.7975,3.4975
08/05/2020,110.0625,121991960,109.3775,110.3925,108.8975,0.685
08/04/2020,109.665,172792360,109.1325,110.79,108.3875,0.5325
08/03/2020,108.9375,308151400,108.2,111.6364,107.8925,0.7375
07/31/2020,106.26,374295480,102.8838,106.415,100.825,3.3762
07/30/2020,96.19,158130040,94.1875,96.2975,93.7675,2.0025
07/29/2020,95.04,90329240,93.75,95.23,93.7125,1.29
07/28/2020,93.2525,103625520,94.3675,94.5497,93.2475,-1.115
07/27/2020,94.81,121214200,93.71,94.905,93.48,1.1
07/24/2020,92.615,185438880,90.9875,92.97,89.145,1.6275
07/23/2020,92.845,197004440,96.9985,97.0775,92.0097,-4.1535
07/22/2020,97.2725,89001640,96.6925,97.975,96.6025,0.58
07/21/2020,97,103645840,99.1725,99.25,96.7425,-2.1725
07/20/2020,98.3575,90317920,96.4163,98.5,96.0625,1.9412
07/17/2020,96.3275,92186920,96.9875,97.1475,95.84,-0.66
07/16/2020,96.5225,110577680,96.5625,97.405,95.905,-0.04
07/15/2020,97.725,153197920,98.99,99.2475,96.49,-1.265
07/14/2020,97.0575,170989360,94.84,97.255,93.8775,2.2175
07/13/2020,95.4775,191649160,97.265,99.955,95.2575,-1.7875
07/10/2020,95.92,90257320,95.335,95.98,94.7052,0.585
07/09/2020,95.6825,125642600,96.2625,96.3175,94.6725,-0.58
07/08/2020,95.3425,117091880,94.18,95.375,94.09,1.1625
07/07/2020,93.1725,112424440,93.8525,94.655,93.0575,-0.68
07/06/2020,93.4625,118655640,92.5,93.945,92.4675,0.9625
07/02/2020,91.0275,114041480,91.9625,92.6175,90.91,-0.935
07/01/2020,91.0275,110737240,91.28,91.84,90.9775,-0.2525
06/30/2020,91.2,140223280,90.02,91.495,90,1.18
06/29/2020,90.445,130646080,88.3125,90.5434,87.82,2.1325
06/26/2020,88.4075,205256840,91.1025,91.33,88.255,-2.695
06/25/2020,91.21,137522520,90.175,91.25,89.3925,1.035
06/24/2020,90.015,192623400,91.25,92.1975,89.63,-1.235
06/23/2020,91.6325,212155480,91,93.095,90.5675,0.6325
06/22/2020,89.7175,135445280,87.835,89.865,87.7875,1.8825
06/19/2020,87.43,264475800,88.6587,89.14,86.2875,-1.2287
06/18/2020,87.9325,96820400,87.8525,88.3625,87.305,0.08
06/17/2020,87.8975,114406520,88.7875,88.85,87.7725,-0.89
06/16/2020,88.02,165428720,87.865,88.3,86.18,0.155
06/15/2020,85.7475,138808920,83.3125,86.42,83.145,2.435
06/12/2020,84.7,200146040,86.18,86.95,83.5558,-1.48
06/11/2020,83.975,201662440,87.3275,87.765,83.87,-3.3525
06/10/2020,88.21,166651760,86.975,88.6925,86.5225,1.235
06/09/2020,85.9975,147712360,83.035,86.4025,83.0025,2.9625
06/08/2020,83.365,95654520,82.5625,83.4,81.83,0.8025
06/05/2020,82.875,137250200,80.8375,82.9375,80.8075,2.0375
06/04/2020,80.58,87560360,81.0975,81.405,80.195,-0.5175
06/03/2020,81.28,104491200,81.165,81.55,80.575,0.115
06/02/2020,80.835,87642800,80.1863,80.86,79.7325,0.6487
06/01/2020,80.4625,81018600,79.4375,80.5875,79.3025,1.025
05/29/2020,79.485,153598120,79.8125,80.2875,79.1175,-0.3275
05/28/2020,79.5625,133796400,79.1925,80.86,78.9075,0.37
05/27/2020,79.5275,112945080,79.035,79.6775,78.2725,0.4925
05/26/2020,79.1825,125521800,80.875,81.06,79.125,-1.6925
05/22/2020,79.7225,81803000,78.9425,79.8075,78.8375,0.78
05/21/2020,79.2125,102688840,79.665,80.2225,78.9675,-0.4525
05/20/2020,79.8075,111504880,79.17,79.88,79.05,0.6375
05/19/2020,78.285,101729560,78.7575,79.63,78.2525,-0.4725
05/18/2020,78.74,135372520,78.2925,79.125,77.581,0.4475
05/15/2020,76.9275,166348360,75.0875,76.975,75.0525,1.84
05/14/2020,77.385,158929080,76.1275,77.4475,75.3825,1.2575
05/13/2020,76.9125,200622560,78.0375,78.9875,75.8025,-1.125
05/12/2020,77.8525,162301040,79.4575,79.922,77.7275,-1.605
